id,name,"An Open Source 
AutoML Benchmark",Best,"Auto-PyTorch Tabular: 
Multi-Fidelity MetaLearning 
for Efficient and Robust AutoDL",Best,"A Comparison of AutoML 
Tools for Machine Learning, 
Deep Learning and XGBoost",Best,"Auto-Sklearn 2.0: 
Hands-free AutoML 
via Meta-Learning",Best,"Benchmark and Survey 
of Automated Machine 
Learning Frameworks",,"FLAML: A Fast and 
Lightweight AutoML 
Library",Best,Count,Best All
1492,one-hundred-plants-shape,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,auto-sklearn,FALSE,,1,auto-sklearn
1494,qsar-biodeg,FALSE,,FALSE,,TRUE,TransmogrifAI,FALSE,,FALSE,,FALSE,,1,TransmogrifAI
1590,adult,TRUE,TPOT,FALSE,,FALSE,,TRUE,H2O AutoML,TRUE,TPOT,TRUE,FLAML,4,FLAML
1591,connect-4,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,FLAML,1,FLAML
1596,covertype,TRUE,auto-sklearn,TRUE,Auto-PyTorch,FALSE,,TRUE,auto-sklearn,TRUE,auto-sklearn,TRUE,FLAML,5,FLAML
4134,Bioresponse,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,TPOT,FALSE,,1,TPOT
4135,Amazon_employee_access,TRUE,H2O AutoML,FALSE,,FALSE,,TRUE,H2O AutoML,TRUE,H2O AutoML,TRUE,FLAML,4,FLAML
4534,PhishingWebsites,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,H2O AutoML,FALSE,,1,H2O AutoML
4538,GesturePhaseSegmentationProcessed,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,H2O AutoML,FALSE,,1,H2O AutoML
4550,MiceProtein,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,TPOT,FALSE,,1,TPOT
6332,cylinder-bands,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,ATM,FALSE,,1,ATM
23380,cjs,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,TPOT,FALSE,,1,TPOT
23381,dresses-sales,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,TPOT,FALSE,,1,TPOT
23512,higgs,TRUE,H2O AutoML,TRUE,AutoGluon,FALSE,,TRUE,auto-sklearn,TRUE,auto-sklearn,TRUE,FLAML,5,FLAML
23517,numerai28.6,TRUE,H2O AutoML,FALSE,,FALSE,,TRUE,H2O AutoML,TRUE,TPOT,TRUE,N/A,4,TPOT
40536,SpeedDating,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,hyperopt.,FALSE,,1,hyperopt.
40668,connect-4,TRUE,H2O AutoML,FALSE,,FALSE,,TRUE,H2O AutoML,TRUE,H2O AutoML,TRUE,FLAML,4,FLAML
40670,dna,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,H2O AutoML,FALSE,,1,H2O AutoML
40685,shuttle,TRUE,H2O AutoML,FALSE,,FALSE,,TRUE,auto-sklearn,TRUE,H2O AutoML,TRUE,FLAML,4,FLAML
40701,churn,FALSE,,FALSE,,TRUE,H2O AutoML,FALSE,,TRUE,TPOT,FALSE,,2,TPOT
40923,Devnagari-Script,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,ATM,FALSE,,1,ATM
40927,CIFAR_10,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,H2O AutoML,FALSE,,1,H2O AutoML
40966,MiceProtein,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,ATM,FALSE,,1,ATM
40975,car,TRUE,H2O AutoML,TRUE,AutoGluon,FALSE,,TRUE,auto-sklearn,TRUE,TPOT,TRUE,FLAML,5,FLAML
40978,Internet-Advertisements,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,auto-sklearn,FALSE,,1,auto-sklearn
40979,mfeat-pixel,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,hyperopt.,FALSE,,1,hyperopt.
40981,Australian,TRUE,Auto-WEKA,FALSE,,FALSE,,TRUE,auto-sklearn,TRUE,ATM,TRUE,FLAML,4,ATM
40982,steel-plates-fault,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,TPOT,FALSE,,1,TPOT
40983,wilt,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,ATM,FALSE,,1,ATM
40984,segment,TRUE,H2O AutoML,FALSE,,FALSE,,TRUE,auto-sklearn,TRUE,H2O AutoML,TRUE,FLAML,4,FLAML
40994,climate-model-simulation-crashes,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,ATM,FALSE,,1,ATM
40996,Fashion-MNIST,TRUE,H2O AutoML,FALSE,,FALSE,,TRUE,auto-sklearn,TRUE,auto-sklearn,TRUE,FLAML,4,FLAML
41027,jungle_chess_2pcs_raw_endgame_complete,TRUE,TPOT,FALSE,,FALSE,,TRUE,H2O AutoML,TRUE,H2O AutoML,TRUE,FLAML,4,FLAML
41138,APSFailure,TRUE,H2O AutoML,TRUE,AutoGluon,FALSE,,TRUE,auto-sklearn,TRUE,H2O AutoML,TRUE,FLAML,5,FLAML
41142,christine,TRUE,auto-sklearn,FALSE,,FALSE,,TRUE,auto-sklearn,TRUE,auto-sklearn,TRUE,FLAML,4,FLAML
41143,jasmine,TRUE,H2O AutoML,FALSE,,FALSE,,TRUE,TPOT,TRUE,TPOT,TRUE,FLAML,4,FLAML
41146,sylvine,TRUE,TPOT,FALSE,,FALSE,,TRUE,TPOT,TRUE,TPOT,TRUE,FLAML,4,FLAML
41147,albert,TRUE,H2O AutoML,FALSE,,FALSE,,TRUE,auto-sklearn,TRUE,ATM,TRUE,FLAML,4,ATM
